Date,Sales
44562,159.9342831
44562.04167,149.3087209
44562.08333,158.3450226
44562.125,168.7818704
44562.16667,158.2426084
44562.20833,147.7033317
44562.25,158.2300722
44562.29167,167.4579677
44562.33333,157.1304947
44562.375,165.9985907
44562.41667,155.6656667
44562.45833,145.3348235
44562.5,153.7219631
44562.54167,144.6939153
44562.58333,135.4963414
44562.625,125.2524001
44562.66667,115.4139481
44562.70833,123.9167439
44562.75,113.9839655
44562.79167,104.5050389
44562.83333,114.8500769
44562.875,104.3032756
44562.91667,112.4113207
44562.95833,102.9435941
44563,92.68353852
44563.04167,100.8610147
44563.08333,91.14690888
44563.125,99.74802571
44563.16667,89.53860053
44563.20833,79.05112491
44563.25,68.84266086
44563.29167,79.80630595
44563.33333,69.06845346
44563.375,59.27039329
44563.41667,68.58646515
44563.45833,58.93522444
44563.5,67.26940619
44563.54167,58.2831093
44563.58333,48.72847674
44563.625,57.04345472
44563.66667,66.22500125
44563.70833,74.4991905
44563.75,63.85327395
44563.79167,53.37426728
44563.83333,43.95493707
44563.875,33.85279686
44563.91667,23.51737175
44563.95833,33.20876731
44564,41.75855658
44564.04167,32.59529272
44564.08333,41.11382707
44564.125,30.71040112
44564.16667,20.56963092
44564.20833,29.54831298
44564.25,39.19791222
44564.29167,48.68796041
44564.33333,38.69325618
44564.375,28.22154732
44564.41667,36.75156881
44564.45833,46.31244101
44564.5,35.99369783
44564.54167,25.41079091
44564.58333,15.65649238
44564.625,5.983078344
44564.66667,15.28311966
44564.70833,25.45310371
44564.75,14.76791281
44564.79167,24.37356545
44564.83333,32.95218309
44564.875,22.78279087
44564.91667,31.36102384
44564.95833,41.82188235
44565,31.10412578
44565.04167,41.60755563
44565.08333,33.21532622
44565.125,42.53037023
44565.16667,50.66964554
44565.20833,40.18875216
44565.25,48.3355694
44565.29167,39.37438142
44565.33333,28.82208612
44565.375,37.39346623
44565.41667,47.75809671
44565.45833,37.4745399
44565.5,27.45218415
44565.54167,17.15376548
44565.58333,26.61840887
44565.625,35.14441065
44565.66667,24.87119483
44565.70833,33.69242272
44565.75,41.8477468
44565.79167,51.39757879
44565.83333,41.27942657
44565.875,30.8243225
44565.91667,20.42721984
44565.95833,10.9943833
44566,19.46817574
44566.04167,27.88586417
44566.08333,35.89404571
44566.125,25.35517413
44566.16667,15.87900779
44566.20833,5.507588584
44566.25,-4.933968352
44566.29167,-14.96191881
44566.33333,-25.56676167
44566.375,-16.9202803
44566.41667,-5.902382856
44566.45833,2.376941645
44566.5,10.78902227
44566.54167,0.106023594
44566.58333,-8.917082312
44566.625,-19.64321982
44566.66667,-11.54685149
44566.70833,0.394335892
44566.75,-10.18253924
44566.79167,-1.700063492
44566.83333,-12.4188229
44566.875,-22.11701267
44566.91667,-12.28849616
44566.95833,-3.08540331
44567,6.180247805
44567.04167,-3.751303486
44567.08333,6.493167412
44567.125,-2.995166632
44567.16667,5.943804718
44567.20833,17.44853372
44567.25,7.590016412
44567.29167,-2.650315631
44567.33333,5.509126553
44567.375,-4.787745358
44567.41667,-14.14214827
44567.45833,-6.032447511
44567.5,-15.82637417
44567.54167,-7.068626279
44567.58333,-16.99114447
44567.625,-6.51124942
44567.66667,-16.55632146
44567.70833,-27.01646609
44567.75,-17.71483854
44567.79167,-27.35706066
44567.83333,-18.99312476
44567.875,-8.901696358
44567.91667,-18.20496145
44567.95833,-9.909547273
44568,-1.493734802
44568.04167,7.757181793
44568.08333,-1.879562568
44568.125,-11.44115162
44568.16667,-2.606045111
44568.20833,5.869130366
44568.25,14.26991893
44568.29167,22.82423606
44568.33333,12.68625831
44568.375,21.05786423
44568.41667,29.52678018
44568.45833,19.41969646
44568.5,30.40493568
44568.54167,39.16306835
44568.58333,29.4852415
44568.625,38.53572727
44568.66667,28.66294078
44568.70833,37.92227614
44568.75,47.77602907
44568.79167,37.76464316
44568.83333,47.30604496
44568.875,55.96649444
44568.91667,65.2817907
44568.95833,76.31665947
44569,65.78750878
44569.04167,55.71587133
44569.08333,45.76643431
44569.125,35.75066357
44569.16667,25.07005511
44569.20833,33.61589827
44569.25,42.05860355
44569.29167,51.38209674
44569.33333,59.40289977
44569.375,69.72855429
44569.41667,59.21674544
44569.45833,71.56901611
44569.5,80.57008387
44569.54167,70.59152567
44569.58333,60.80532892
44569.625,69.57728478
44569.66667,59.02840129
44569.70833,68.17080208
44569.75,76.92798228
44569.79167,66.2435283
44569.83333,56.25564265
44569.875,46.86900515
44569.91667,36.5208686
44569.95833,45.89110668
44570,54.23365667
44570.04167,44.60482157
44570.08333,52.88191105
44570.125,61.49841886
44570.16667,51.54389055
44570.20833,59.78985072
44570.25,67.88298467
44570.29167,58.16165794
44570.33333,66.73411771
44570.375,75.63137295
44570.41667,85.36425494
44570.45833,95.05033823
44570.5,85.54024066
44570.54167,75.63428319
44570.58333,84.45833962
44570.625,93.28039714
44570.66667,102.1044734
44570.70833,116.2688438
44570.75,125.1822686
44570.79167,134.9991737
44570.83333,144.5255765
44570.875,153.5678025
44570.91667,143.1015448
44570.95833,152.3158956
44571,142.2614383
44571.04167,131.724575
44571.08333,121.4114022
44571.125,129.5424008
44571.16667,141.2458545
44571.20833,132.1763932
44571.25,141.2744095
44571.29167,131.9758538
44571.33333,121.6505925
44571.375,131.3929134
44571.41667,139.4957615
44571.45833,129.7157318
44571.5,119.6095051
44571.54167,128.6968615
